iter	Passed	Remaining
0	0	97
1	1	89
2	2	85
3	3	78
4	4	77
5	4	76
6	5	75
7	6	74
8	7	72
9	8	74
10	9	74
11	10	74
12	10	73
13	11	71
14	12	70
15	13	68
16	13	67
17	14	66
18	15	65
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	47
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	72	0
